ticker,exchange_code,exchange_name_ko,name_ko,name_en,market_type_code
AMT,NYS,뉴욕,아메리칸 타워,AMERICAN TOWER CORP,2
AMTB,NYS,뉴욕,아머란트 뱅코프,AMERANT BANCORP INC,2
AMTD,NYS,뉴욕,AMTD 아이디어 그룹(ADR),AMTD IDEA GROUP SPON ADS EACH REP 6 ORD CL A (PST SPLIT),2
AMTM,NYS,뉴욕,어멘텀 홀딩스,AMENTUM HOLDINGS INC,2
AMWL,NYS,뉴욕,아메리칸 웰,AMERICAN WELL CORP,2
AMX,NYS,뉴욕,아메리카 모빌 L(ADR),AMERICA MOVIL SAB DE CV SPON ADS EACH REP 20 SER B SHARES,2
AN,NYS,뉴욕,오토네이션,AUTONATION INC,2
ANDG,NYS,뉴욕,ANDERSEN GROUP INC,ANDERSEN GROUP INC,2
ANET,NYS,뉴욕,아리스타 네트웍스,ARISTA NETWORKS INC,2
ANF,NYS,뉴욕,애버크롬비 앤드 피치,ABERCROMBIE & FITCH CO,2
ANG/D,NYS,뉴욕,아메리칸 내셔널 그룹 우선주 D(7.375%),AMERICAN NATIONAL GROUP INC DEP SHS REP 1/1000TH INT PFD SER,2
ANGX,NYS,뉴욕,엔젤 스튜디오스,ANGEL STUDIOS INC,2
ANRO,NYS,뉴욕,앨토 뉴로사이언스,ALTO NEUROSCIENCE INC,2
ANVS,NYS,뉴욕,애노비스 바이오,ANNOVIS BIO INC,2
AOD,NYS,뉴욕,ABERDEEN TOTAL DYNAMIC DIVIDEND,ABRDN TOTAL DYNAMIC DIVIDEND FUND,3
AOMD,NYS,뉴욕,엔젤 오크 모기지 리츠 일반채권(2030-06-01 9.750%),ANGEL OAK MORTGAGE REIT INC 9.75% NTS DUE 01/06/2030 USD25,2
AOMN,NYS,뉴욕,엔젤 오크 모기지 리츠 일반채권(2029-07-30 9.500%),ANGEL OAK MORTGAGE REIT INC 9.500%  NTS DUE 30/07/2029,2
AOMR,NYS,뉴욕,엔젤 오크 모기지 리츠,ANGEL OAK MORTGAGE REIT INC,2
AON,NYS,뉴욕,에이온,AON PLC (IE),2
AORT,NYS,뉴욕,아티비언,ARTIVION INC,2
AOS,NYS,뉴욕,A O 스미스,SMITH A O CORP,2
AP,NYS,뉴욕,앰프코 피츠버그,AMPCO-PITTSBURGH CORP,2
APAM,NYS,뉴욕,아티잔 파트너스 에셋 매니지먼트,ARTISAN PARTNERS ASSET MGMT INC,2
APD,NYS,뉴욕,에어 프라덕츠 앤드 케미컬스,AIR PRODUCTS & CHEMICALS INC,2
APG,NYS,뉴욕,API 그룹,API GROUP CORPORATION,2
APH,NYS,뉴욕,암페놀,AMPHENOL CORP,2
APLE,NYS,뉴욕,애플 호스피털리티 리츠,APPLE HOSPITALITY REIT INC,2
APO,NYS,뉴욕,아폴로 글로벌 매니지먼트,APOLLO GLOBAL MANAGEMENT INC,2
APO/A,NYS,뉴욕,아폴로 글로벌 매니지먼트 우선주 A(6.750% 전환),APOLLO GLOBAL MANAGEMENT INC 6.75% CONV PFD STK SER A,2
APOS,NYS,뉴욕,아폴로 글로벌 매니지먼트 후순위채권(2053 7.625%),APOLLO GLOBAL MANAGEMENT INC 7.625% FXD RESETTABLE JR SUB NO,2
APTV,NYS,뉴욕,앱티브,APTIV PLC,2
